ids_series_id,ids_series_name
BM.GSR.TOTL.CD,"Imports of goods, services and primary income (current US$)"
BN.CAB.XOKA.CD,Current account balance (current US$)
BX.GRT.EXTA.CD.DT,"Grants, excluding technical cooperation (current US$)"
BX.GRT.TECH.CD.DT,Technical cooperation grants (current US$)
BX.GSR.TOTL.CD,"Exports of goods, services and primary income (current US$)"
BX.KLT.DINV.CD.DT,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
BX.KLT.DREM.CD.DT,Primary income on FDI (current US$)
BX.PEF.TOTL.CD.DT,"Portfolio investment, equity (DRS, current US$)"
BX.TRF.PWKR.CD.DT,"Personal transfers and compensation of employees, received (current US$)"
DT.AMT.BLAT.CB.CD,"CB, bilateral (AMT, current US$)"
DT.AMT.BLAT.CD,"PPG, bilateral (AMT, current US$)"
DT.AMT.BLAT.GG.CD,"GG, bilateral (AMT, current US$)"
DT.AMT.BLAT.OPS.CD,"OPS, bilateral (AMT, current US$)"
DT.AMT.BLAT.PRVG.CD,"PRVG, bilateral (AMT, current US$)"
DT.AMT.BLAT.PS.CD,"PS, bilateral (AMT, current US$)"
DT.AMT.BLTC.CB.CD,"CB, bilateral concessional (AMT, current US$)"
DT.AMT.BLTC.CD,"PPG, bilateral concessional (AMT, current US$)"
DT.AMT.BLTC.GG.CD,"GG, bilateral concessional (AMT, current US$)"
DT.AMT.BLTC.OPS.CD,"OPS, bilateral concessional (AMT, current US$)"
DT.AMT.BLTC.PRVG.CD,"PRVG, bilateral concessional (AMT, current US$)"
DT.AMT.BLTC.PS.CD,"PS, bilateral concessional (AMT, current US$)"
DT.AMT.DECB.CD,"Principal repayments on external debt, central bank (PPG) (AMT, current US$)"
DT.AMT.DEGG.CD,"Principal repayments on external debt, general government sector (PPG) (AMT, current US$)"
DT.AMT.DEPS.CD,"Principal repayments on external debt, public sector (PPG) (AMT, current US$)"
DT.AMT.DIMF.CD,"IMF repurchases (AMT, current US$)"
DT.AMT.DLTF.CD,"Principal repayments on external debt, long-term + IMF (AMT, current US$)"
DT.AMT.DLXF.CD,"Principal repayments on external debt, long-term (AMT, current US$)"
DT.AMT.DOPS.CD,"Principal repayments on external debt, other public sector (PPG) (AMT, current US$)"
DT.AMT.DPNG.CD,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)"
DT.AMT.DPPG.CD,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)"
DT.AMT.MIBR.CD,"PPG, IBRD (AMT, current US$)"
DT.AMT.MIDA.CD,"PPG, IDA (AMT, current US$)"
DT.AMT.MLAT.CB.CD,"CB, multilateral (AMT, current US$)"
DT.AMT.MLAT.CD,"PPG, multilateral (AMT, current US$)"
DT.AMT.MLAT.GG.CD,"GG, multilateral (AMT, current US$)"
DT.AMT.MLAT.OPS.CD,"OPS, multilateral (AMT, current US$)"
DT.AMT.MLAT.PRVG.CD,"PRVG, multilateral (AMT, current US$)"
DT.AMT.MLAT.PS.CD,"PS, multilateral (AMT, current US$)"
DT.AMT.MLTC.CB.CD,"CB, multilateral concessional (AMT, current US$)"
DT.AMT.MLTC.CD,"PPG, multilateral concessional (AMT, current US$)"
DT.AMT.MLTC.GG.CD,"GG, multilateral concessional (AMT, current US$)"
DT.AMT.MLTC.OPS.CD,"OPS, multilateral concessional (AMT, current US$)"
DT.AMT.MLTC.PRVG.CD,"PRVG, multilateral concessional (AMT, current US$)"
DT.AMT.MLTC.PS.CD,"PS, multilateral concessional (AMT, current US$)"
DT.AMT.OFFT.CB.CD,"CB, official creditors (AMT, current US$)"
DT.AMT.OFFT.CD,"PPG, official creditors (AMT, current US$)"
DT.AMT.OFFT.GG.CD,"GG, official creditors (AMT, current US$)"
DT.AMT.OFFT.OPS.CD,"OPS, official creditors (AMT, current US$)"
DT.AMT.OFFT.PRVG.CD,"PRVG, official creditors (AMT, current US$)"
DT.AMT.OFFT.PS.CD,"PS, official creditors (AMT, current US$)"
DT.AMT.PBND.CB.CD,"CB, bonds (AMT, current US$)"
DT.AMT.PBND.CD,"PPG, bonds (AMT, current US$)"
DT.AMT.PBND.GG.CD,"GG, bonds (AMT, current US$)"
DT.AMT.PBND.OPS.CD,"OPS, bonds (AMT, current US$)"
DT.AMT.PBND.PRVG.CD,"PRVG, bonds (AMT, current US$)"
DT.AMT.PBND.PS.CD,"PS, bonds (AMT, current US$)"
DT.AMT.PCBK.CB.CD,"CB, commercial banks (AMT, current US$)"
DT.AMT.PCBK.CD,"PPG, commercial banks (AMT, current US$)"
DT.AMT.PCBK.GG.CD,"GG, commercial banks (AMT, current US$)"
DT.AMT.PCBK.OPS.CD,"OPS, commercial banks (AMT, current US$)"
DT.AMT.PCBK.PRVG.CD,"PRVG, commercial banks (AMT, current US$)"
DT.AMT.PCBK.PS.CD,"PS, commercial banks (AMT, current US$)"
DT.AMT.PNGB.CD,"PNG, bonds (AMT, current US$)"
DT.AMT.PNGC.CD,"PNG, commercial banks and other creditors (AMT, current US$)"
DT.AMT.PROP.CB.CD,"CB, other private creditors (AMT, current US$)"
DT.AMT.PROP.CD,"PPG, other private creditors (AMT, current US$)"
DT.AMT.PROP.GG.CD,"GG, other private creditors (AMT, current US$)"
DT.AMT.PROP.OPS.CD,"OPS, other private creditors (AMT, current US$)"
DT.AMT.PROP.PRVG.CD,"PRVG, other private creditors (AMT, current US$)"
DT.AMT.PROP.PS.CD,"PS, other private creditors (AMT, current US$)"
DT.AMT.PRPG.CD,"Principal repayments on external debt, private guaranteed by public sector (PPG) (AMT, current US$)"
DT.AMT.PRVT.CB.CD,"CB, private creditors (AMT, current US$)"
DT.AMT.PRVT.CD,"PPG, private creditors (AMT, current US$)"
DT.AMT.PRVT.GG.CD,"GG, private creditors (AMT, current US$)"
DT.AMT.PRVT.OPS.CD,"OPS, private creditors (AMT, current US$)"
DT.AMT.PRVT.PRVG.CD,"PRVG, private creditors (AMT, current US$)"
DT.AMT.PRVT.PS.CD,"PS, private creditors (AMT, current US$)"
DT.AXA.DLXF.CD,"Principal arrears, long-term DOD"
DT.AXA.OFFT.CD,"Principal arrears, official creditors (current US$)"
DT.AXA.PRVT.CD,"Principal arrears, private creditors (current US$)"
DT.AXF.DPPG.CD,Principal forgiven (current US$)
DT.AXR.DPPG.CD,Principal rescheduled (current US$)
DT.AXR.OFFT.CD,"Principal rescheduled, official (current US$)"
DT.AXR.PRVT.CD,"Principal rescheduled, private (current US$)"
DT.COM.BLAT.CD,"Commitments, bilateral creditors (COM, current US$)"
DT.COM.DPPG.CD,"Commitments, public and publicly guaranteed (COM, current US$)"
DT.COM.MIBR.CD,"Commitments, IBRD (COM, current US$)"
DT.COM.MIDA.CD,"Commitments, IDA (COM, current US$)"
DT.COM.MLAT.CD,"Commitments, multilateral creditors (COM, current US$)"
DT.COM.OFFT.CD,"Commitments, official creditors (COM, current US$)"
DT.COM.PRVT.CD,"Commitments, private creditors (COM, current US$)"
DT.CUR.DMAK.ZS,"Currency composition of PPG debt, Deutsche mark (%)"
DT.CUR.EURO.ZS,"Currency composition of PPG debt, Euro (%)"
DT.CUR.FFRC.ZS,"Currency composition of PPG debt, French franc (%)"
DT.CUR.JYEN.ZS,"Currency composition of PPG debt, Japanese yen (%)"
DT.CUR.MULC.ZS,"Currency composition of PPG debt, Multiple currencies (%)"
DT.CUR.OTHC.ZS,"Currency composition of PPG debt, all other currencies (%)"
DT.CUR.SDRW.ZS,"Currency composition of PPG debt, SDR (%)"
DT.CUR.SWFR.ZS,"Currency composition of PPG debt, Swiss franc (%)"
DT.CUR.UKPS.ZS,"Currency composition of PPG debt, Pound sterling (%)"
DT.CUR.USDL.ZS,"Currency composition of PPG debt, U.S. dollars (%)"
DT.DFR.DPPG.CD,Debt forgiveness or reduction (current US$)
DT.DIS.BLAT.CB.CD,"CB, bilateral (DIS, current US$)"
DT.DIS.BLAT.CD,"PPG, bilateral (DIS, current US$)"
DT.DIS.BLAT.GG.CD,"GG, bilateral (DIS, current US$)"
DT.DIS.BLAT.OPS.CD,"OPS, bilateral (DIS, current US$)"
DT.DIS.BLAT.PRVG.CD,"PRVG, bilateral (DIS, current US$)"
DT.DIS.BLAT.PS.CD,"PS, bilateral (DIS, current US$)"
DT.DIS.BLTC.CB.CD,"CB, bilateral concessional (DIS, current US$)"
DT.DIS.BLTC.CD,"PPG, bilateral concessional (DIS, current US$)"
DT.DIS.BLTC.GG.CD,"GG, bilateral concessional (DIS, current US$)"
DT.DIS.BLTC.OPS.CD,"OPS, bilateral concessional (DIS, current US$)"
DT.DIS.BLTC.PRVG.CD,"PRVG, bilateral concessional (DIS, current US$)"
DT.DIS.BLTC.PS.CD,"PS, bilateral concessional (DIS, current US$)"
DT.DIS.DECB.CD,"Disbursements on external debt, central bank (PPG) (DIS, current US$)"
DT.DIS.DEGG.CD,"Disbursements on external debt, general government sector (PPG) (DIS, current US$)"
DT.DIS.DEPS.CD,"Disbursements on external debt, public sector (PPG) (DIS, current US$)"
DT.DIS.DIMF.CD,"IMF purchases (DIS, current US$)"
DT.DIS.DLTF.CD,"Disbursements on external debt, long-term + IMF (DIS, current US$)"
DT.DIS.DLXF.CD,"Disbursements on external debt, long-term (DIS, current US$)"
DT.DIS.DOPS.CD,"Disbursements on external debt, other public sector (PPG) (DIS, current US$)"
DT.DIS.DPNG.CD,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)"
DT.DIS.DPPG.CD,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)"
DT.DIS.IDAG.CD,IDA grants (current US$)
DT.DIS.MIBR.CD,"PPG, IBRD (DIS, current US$)"
DT.DIS.MIDA.CD,"PPG, IDA (DIS, current US$)"
DT.DIS.MLAT.CB.CD,"CB, multilateral (DIS, current US$)"
DT.DIS.MLAT.CD,"PPG, multilateral (DIS, current US$)"
DT.DIS.MLAT.GG.CD,"GG, multilateral (DIS, current US$)"
DT.DIS.MLAT.OPS.CD,"OPS, multilateral (DIS, current US$)"
DT.DIS.MLAT.PRVG.CD,"PRVG, multilateral (DIS, current US$)"
DT.DIS.MLAT.PS.CD,"PS, multilateral (DIS, current US$)"
DT.DIS.MLTC.CB.CD,"CB, multilateral concessional (DIS, current US$)"
DT.DIS.MLTC.CD,"PPG, multilateral concessional (DIS, current US$)"
DT.DIS.MLTC.GG.CD,"GG, multilateral concessional (DIS, current US$)"
DT.DIS.MLTC.OPS.CD,"OPS, multilateral concessional (DIS, current US$)"
DT.DIS.MLTC.PRVG.CD,"PRVG, multilateral concessional (DIS, current US$)"
DT.DIS.MLTC.PS.CD,"PS, multilateral concessional (DIS, current US$)"
DT.DIS.OFFT.CB.CD,"CB, official creditors (DIS, current US$)"
DT.DIS.OFFT.CD,"PPG, official creditors (DIS, current US$)"
DT.DIS.OFFT.GG.CD,"GG, official creditors (DIS, current US$)"
DT.DIS.OFFT.OPS.CD,"OPS, official creditors (DIS, current US$)"
DT.DIS.OFFT.PRVG.CD,"PRVG, official creditors (DIS, current US$)"
DT.DIS.OFFT.PS.CD,"PS, official creditors (DIS, current US$)"
DT.DIS.PBND.CB.CD,"CB, bonds (DIS, current US$)"
DT.DIS.PBND.CD,"PPG, bonds (DIS, current US$)"
DT.DIS.PBND.GG.CD,"GG, bonds (DIS, current US$)"
DT.DIS.PBND.OPS.CD,"OPS, bonds (DIS, current US$)"
DT.DIS.PBND.PRVG.CD,"PRVG, bonds (DIS, current US$)"
DT.DIS.PBND.PS.CD,"PS, bonds (DIS, current US$)"
DT.DIS.PCBK.CB.CD,"CB, commercial banks (DIS, current US$)"
DT.DIS.PCBK.CD,"PPG, commercial banks (DIS, current US$)"
DT.DIS.PCBK.GG.CD,"GG, commercial banks (DIS, current US$)"
DT.DIS.PCBK.OPS.CD,"OPS, commercial banks (DIS, current US$)"
DT.DIS.PCBK.PRVG.CD,"PRVG, commercial banks (DIS, current US$)"
DT.DIS.PCBK.PS.CD,"PS, commercial banks (DIS, current US$)"
DT.DIS.PNGB.CD,"PNG, bonds (DIS, current US$)"
DT.DIS.PNGC.CD,"PNG, commercial banks and other creditors (DIS, current US$)"
DT.DIS.PROP.CB.CD,"CB, other private creditors (DIS, current US$)"
DT.DIS.PROP.CD,"PPG, other private creditors (DIS, current US$)"
DT.DIS.PROP.GG.CD,"GG, other private creditors (DIS, current US$)"
DT.DIS.PROP.OPS.CD,"OPS, other private creditors (DIS, current US$)"
DT.DIS.PROP.PRVG.CD,"PRVG, other private creditors (DIS, current US$)"
DT.DIS.PROP.PS.CD,"PS, other private creditors (DIS, current US$)"
DT.DIS.PRPG.CD,"Disbursements on external debt, private guaranteed by public sector (PPG) (DIS, current US$)"
DT.DIS.PRVT.CB.CD,"CB, private creditors (DIS, current US$)"
DT.DIS.PRVT.CD,"PPG, private creditors (DIS, current US$)"
DT.DIS.PRVT.GG.CD,"GG, private creditors (DIS, current US$)"
DT.DIS.PRVT.OPS.CD,"OPS, private creditors (DIS, current US$)"
DT.DIS.PRVT.PRVG.CD,"PRVG, private creditors (DIS, current US$)"
DT.DIS.PRVT.PS.CD,"PS, private creditors (DIS, current US$)"
DT.DOD.ALLC.CD,"External debt stocks, concessional (DOD, current US$)"
DT.DOD.ALLC.ZS,Concessional debt (% of total external debt)
DT.DOD.BLAT.CB.CD,"CB, bilateral (DOD, current US$)"
DT.DOD.BLAT.CD,"PPG, bilateral (DOD, current US$)"
DT.DOD.BLAT.GG.CD,"GG, bilateral (DOD, current US$)"
DT.DOD.BLAT.OPS.CD,"OPS, bilateral (DOD, current US$)"
DT.DOD.BLAT.PRVG.CD,"PRVG, bilateral (DOD, current US$)"
DT.DOD.BLAT.PS.CD,"PS, bilateral (DOD, current US$)"
DT.DOD.BLTC.CB.CD,"CB, bilateral concessional (DOD, current US$)"
DT.DOD.BLTC.CD,"PPG, bilateral concessional (DOD, current US$)"
DT.DOD.BLTC.GG.CD,"GG, bilateral concessional (DOD, current US$)"
DT.DOD.BLTC.OPS.CD,"OPS, bilateral concessional (DOD, current US$)"
DT.DOD.BLTC.PRVG.CD,"PRVG, bilateral concessional (DOD, current US$)"
DT.DOD.BLTC.PS.CD,"PS, bilateral concessional (DOD, current US$)"
DT.DOD.DECB.CD,"External debt stocks, central bank (PPG) (DOD, current US$)"
DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)"
DT.DOD.DECT.CD.CG,Total change in external debt stocks (current US$)
DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)"
DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI)
DT.DOD.DEGG.CD,"External debt stocks, general government sector (PPG) (DOD, current US$)"
DT.DOD.DEPS.CD,"External debt stocks, public sector (PPG) (DOD, current US$)"
DT.DOD.DIMF.CD,"Use of IMF credit (DOD, current US$)"
DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)"
DT.DOD.DOPS.CD,"External debt stocks, other public sector (PPG) (DOD, current US$)"
DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
DT.DOD.DSDR.CD,"Use of IMF credit, SDR allocations (DOD, current US$)"
DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)"
DT.DOD.DSTC.ZS,Short-term debt (% of total external debt)
DT.DOD.MDRI.CD,Debt forgiveness grants (current US$)
DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)"
DT.DOD.MIDA.CD,"PPG, IDA (DOD, current US$)"
DT.DOD.MLAT.CB.CD,"CB, multilateral (DOD, current US$)"
DT.DOD.MLAT.CD,"PPG, multilateral (DOD, current US$)"
DT.DOD.MLAT.GG.CD,"GG, multilateral (DOD, current US$)"
DT.DOD.MLAT.OPS.CD,"OPS, multilateral (DOD, current US$)"
DT.DOD.MLAT.PRVG.CD,"PRVG, multilateral (DOD, current US$)"
DT.DOD.MLAT.PS.CD,"PS, multilateral (DOD, current US$)"
DT.DOD.MLAT.ZS,Multilateral debt (% of total external debt)
DT.DOD.MLTC.CB.CD,"CB, multilateral concessional (DOD, current US$)"
DT.DOD.MLTC.CD,"PPG, multilateral concessional (DOD, current US$)"
DT.DOD.MLTC.GG.CD,"GG, multilateral concessional (DOD, current US$)"
DT.DOD.MLTC.OPS.CD,"OPS, multilateral concessional (DOD, current US$)"
DT.DOD.MLTC.PRVG.CD,"PRVG, multilateral concessional (DOD, current US$)"
DT.DOD.MLTC.PS.CD,"PS, multilateral concessional (DOD, current US$)"
DT.DOD.OFFT.CB.CD,"CB, official creditors (DOD, current US$)"
DT.DOD.OFFT.CD,"PPG, official creditors (DOD, current US$)"
DT.DOD.OFFT.GG.CD,"GG, official creditors (DOD, current US$)"
