ids_time_id,ids_time_name
YR1970,1970
YR1971,1971
YR1972,1972
YR1973,1973
YR1974,1974
YR1975,1975
YR1976,1976
YR1977,1977
YR1978,1978
YR1979,1979
YR1980,1980
YR1981,1981
YR1982,1982
YR1983,1983
YR1984,1984
YR1985,1985
YR1986,1986
YR1987,1987
YR1988,1988
YR1989,1989
YR1990,1990
YR1991,1991
YR1992,1992
YR1993,1993
YR1994,1994
YR1995,1995
YR1996,1996
YR1997,1997
YR1998,1998
YR1999,1999
YR2000,2000
YR2001,2001
YR2002,2002
YR2003,2003
YR2004,2004
YR2005,2005
YR2006,2006
YR2007,2007
YR2008,2008
YR2009,2009
YR2010,2010
YR2011,2011
YR2012,2012
YR2013,2013
YR2014,2014
YR2015,2015
YR2016,2016
YR2017,2017
YR2018,2018
YR2019,2019
YR2020,2020
YR2021,2021
YR2022,2022
YR2023,2023
YR2024,2024
YR2025,2025
YR2026,2026
YR2027,2027
YR2028,2028
YR2029,2029
